marketplace,category,title,price_min,price_max,currency,unit,supplier_name,supplier_location,url,source_html_snippet
indiamart,Building Construction Material & Equipment,IndiaMART,,,,,,,https://www.indiamart.com/,"<header class=""headercntrl Hd_pr nWhdr2 test""><div class=""blk_scrn Hd_dbn"" id=""ver_sc""></div><div class=""ver_cert pf w100 tb0 imgc Hd_dbn""></div><div class=""gl-wrapper cityNew"" id=""header""><div class=""nwHdr""><a class=""hd_logo Hd_db hdlft Hd_fl"" href=""https://www.indiamart.com/"">IndiaMART</a><div class=""hdw hdLk clFix Hd_pr Hd_fl""><div class=""hd_srch Hd_fl"" id=""hdSrh""><div class=""wrpd3 select-wrapper Hd_pr Hd_fl cpo hd_cFMn"" id=""drpn"" style=""display: block;""><svg fill=""none"" height=""24"" style=""position: absolute;top: 6px;left: 8px;"" viewbox=""0 0 58 89"" width=""11"" xmlns=""http://www.w3.org/2000/svg""><path clip-rule=""evenodd"" d=""M28.8124 0C12.9017 0 0 13.2904 0 29.5625C0 32.9197 1.42439 37.1264 3.53125 42.1562C5.63811 47.1862 8.49007 52.9073 11.5 58.6251C17.5198 70.0606 24.2524 81.5554 27.0312 86.9375C27.1989 87.2657 27.454 87.5412 27.7683 87.7336C28.0826 87.926 28.444 88.0278 28.8125 88.0278C29.181 88.0278 29.5424 87.926 29.8567 87.7336C30.171 87.5412 30.4261 87.2657 30.5937 86.9375C33.3725 81.5554 40.105 70.0606 46.125 58.6251C49.1349 52.9073 51.9556 47.1862 54.0624 42.1562C56.1693 37.1264 57.625 32.9197 57.625 29.5625C57.625 13.2913 44.7325 0 28.8124 0ZM28.8124 16.25C34.4936 16.25 3"
indiamart,Building Construction Material & Equipment,Get Best Price,,,,,,,https://my.indiamart.com/buyertools/postbl?modid=DIR,"<div class=""gl-wrapper cityNew"" id=""header""><div class=""nwHdr""><a class=""hd_logo Hd_db hdlft Hd_fl"" href=""https://www.indiamart.com/"">IndiaMART</a><div class=""hdw hdLk clFix Hd_pr Hd_fl""><div class=""hd_srch Hd_fl"" id=""hdSrh""><div class=""wrpd3 select-wrapper Hd_pr Hd_fl cpo hd_cFMn"" id=""drpn"" style=""display: block;""><svg fill=""none"" height=""24"" style=""position: absolute;top: 6px;left: 8px;"" viewbox=""0 0 58 89"" width=""11"" xmlns=""http://www.w3.org/2000/svg""><path clip-rule=""evenodd"" d=""M28.8124 0C12.9017 0 0 13.2904 0 29.5625C0 32.9197 1.42439 37.1264 3.53125 42.1562C5.63811 47.1862 8.49007 52.9073 11.5 58.6251C17.5198 70.0606 24.2524 81.5554 27.0312 86.9375C27.1989 87.2657 27.454 87.5412 27.7683 87.7336C28.0826 87.926 28.444 88.0278 28.8125 88.0278C29.181 88.0278 29.5424 87.926 29.8567 87.7336C30.171 87.5412 30.4261 87.2657 30.5937 86.9375C33.3725 81.5554 40.105 70.0606 46.125 58.6251C49.1349 52.9073 51.9556 47.1862 54.0624 42.1562C56.1693 37.1264 57.625 32.9197 57.625 29.5625C57.625 13.2913 44.7325 0 28.8124 0ZM28.8124 16.25C34.4936 16.25 39.1251 20.9049 39.1251 26.5938C39.1251 32.2749 34.4936 36.9375 28.8124 36.9375C23.1313 36.9375 18.4687 32.2749 18.4687 26.5938C18.4687 20.9049 23"
indiamart,Building Construction Material & Equipment,Messages,,,,,,,https://buyer.indiamart.com/enquiry/messagecentre,"<div class=""hdw hdLk clFix Hd_pr Hd_fl""><div class=""hd_srch Hd_fl"" id=""hdSrh""><div class=""wrpd3 select-wrapper Hd_pr Hd_fl cpo hd_cFMn"" id=""drpn"" style=""display: block;""><svg fill=""none"" height=""24"" style=""position: absolute;top: 6px;left: 8px;"" viewbox=""0 0 58 89"" width=""11"" xmlns=""http://www.w3.org/2000/svg""><path clip-rule=""evenodd"" d=""M28.8124 0C12.9017 0 0 13.2904 0 29.5625C0 32.9197 1.42439 37.1264 3.53125 42.1562C5.63811 47.1862 8.49007 52.9073 11.5 58.6251C17.5198 70.0606 24.2524 81.5554 27.0312 86.9375C27.1989 87.2657 27.454 87.5412 27.7683 87.7336C28.0826 87.926 28.444 88.0278 28.8125 88.0278C29.181 88.0278 29.5424 87.926 29.8567 87.7336C30.171 87.5412 30.4261 87.2657 30.5937 86.9375C33.3725 81.5554 40.105 70.0606 46.125 58.6251C49.1349 52.9073 51.9556 47.1862 54.0624 42.1562C56.1693 37.1264 57.625 32.9197 57.625 29.5625C57.625 13.2913 44.7325 0 28.8124 0ZM28.8124 16.25C34.4936 16.25 39.1251 20.9049 39.1251 26.5938C39.1251 32.2749 34.4936 36.9375 28.8124 36.9375C23.1313 36.9375 18.4687 32.2749 18.4687 26.5938C18.4687 20.9049 23.1313 16.25 28.8124 16.25Z"" fill=""#E43737"" fill-rule=""evenodd"" style=""position: absolute;""></path></svg><button class=""hd_cFl cpo"" id=""hd_s earchPl"
indiamart,Building Construction Material & Equipment,Sign In,,,,,,,https://my.indiamart.com,"<div class=""hdw hdLk clFix Hd_pr Hd_fl""><div class=""hd_srch Hd_fl"" id=""hdSrh""><div class=""wrpd3 select-wrapper Hd_pr Hd_fl cpo hd_cFMn"" id=""drpn"" style=""display: block;""><svg fill=""none"" height=""24"" style=""position: absolute;top: 6px;left: 8px;"" viewbox=""0 0 58 89"" width=""11"" xmlns=""http://www.w3.org/2000/svg""><path clip-rule=""evenodd"" d=""M28.8124 0C12.9017 0 0 13.2904 0 29.5625C0 32.9197 1.42439 37.1264 3.53125 42.1562C5.63811 47.1862 8.49007 52.9073 11.5 58.6251C17.5198 70.0606 24.2524 81.5554 27.0312 86.9375C27.1989 87.2657 27.454 87.5412 27.7683 87.7336C28.0826 87.926 28.444 88.0278 28.8125 88.0278C29.181 88.0278 29.5424 87.926 29.8567 87.7336C30.171 87.5412 30.4261 87.2657 30.5937 86.9375C33.3725 81.5554 40.105 70.0606 46.125 58.6251C49.1349 52.9073 51.9556 47.1862 54.0624 42.1562C56.1693 37.1264 57.625 32.9197 57.625 29.5625C57.625 13.2913 44.7325 0 28.8124 0ZM28.8124 16.25C34.4936 16.25 39.1251 20.9049 39.1251 26.5938C39.1251 32.2749 34.4936 36.9375 28.8124 36.9375C23.1313 36.9375 18.4687 32.2749 18.4687 26.5938C18.4687 20.9049 23.1313 16.25 28.8124 16.25Z"" fill=""#E43737"" fill-rule=""evenodd"" style=""position: absolute;""></path></svg><button class=""hd_cFl cpo"" id=""hd_s earchPl"
indiamart,Building Construction Material & Equipment,IndiaMART,,,,,,,https://dir.indiamart.com/,"<div class=""q_hm1""><div class=""brd"" itemtype=""https://schema.org/BreadcrumbList""><span itemprop=""itemListElement"" itemtype=""https://schema.org/ListItem""><a href=""/"" id=""/"" itemprop=""item"" itemtype=""https://schema.org/Thing"" target=""_top""><span itemprop=""name"">IndiaMART</span></a><span class=""dvdr""> &gt; </span></span><span itemprop=""itemListElement"" itemtype=""https://schema.org/ListItem""><a href=""/industry/builders-hardware.html"" id=""/industry/builders-hardware.html"" itemprop=""item"" itemtype=""https://schema.org/Thing"" target=""_top""><span itemprop=""name"">Building &amp; Construction</span></a><span class=""dvdr""> &gt; </span></span><span itemprop=""itemListElement"" itemtype=""https://schema.org/ListItem""><span id=""https://dir.indiamart.com/indianexporters/miscel.html"" itemprop=""item"" itemtype=""https://schema.org/Thing""><span itemprop=""name"">Building Panels &amp; Cladding Materials</span></span></span></div><div class=""oh""></div><div class=""c1 mb15""><div class=""title-name""><h1 id=""cat-nm"">Building Panels, Wall Partitions, Corbels, RCC Slabs and Cladding Materials</h1><span class=""tline""></span></div><section class=""ctgry bgnul sctcls""><ul><li class=""box-new""><div class=""prow showp-new is"
indiamart,Building Construction Material & Equipment,Building & Construction,,,,,,,https://dir.indiamart.com/industry/builders-hardware.html,"<div class=""q_hm1""><div class=""brd"" itemtype=""https://schema.org/BreadcrumbList""><span itemprop=""itemListElement"" itemtype=""https://schema.org/ListItem""><a href=""/"" id=""/"" itemprop=""item"" itemtype=""https://schema.org/Thing"" target=""_top""><span itemprop=""name"">IndiaMART</span></a><span class=""dvdr""> &gt; </span></span><span itemprop=""itemListElement"" itemtype=""https://schema.org/ListItem""><a href=""/industry/builders-hardware.html"" id=""/industry/builders-hardware.html"" itemprop=""item"" itemtype=""https://schema.org/Thing"" target=""_top""><span itemprop=""name"">Building &amp; Construction</span></a><span class=""dvdr""> &gt; </span></span><span itemprop=""itemListElement"" itemtype=""https://schema.org/ListItem""><span id=""https://dir.indiamart.com/indianexporters/miscel.html"" itemprop=""item"" itemtype=""https://schema.org/Thing""><span itemprop=""name"">Building Panels &amp; Cladding Materials</span></span></span></div><div class=""oh""></div><div class=""c1 mb15""><div class=""title-name""><h1 id=""cat-nm"">Building Panels, Wall Partitions, Corbels, RCC Slabs and Cladding Materials</h1><span class=""tline""></span></div><section class=""ctgry bgnul sctcls""><ul><li class=""box-new""><div class=""prow showp-new is"
indiamart,Building Construction Material & Equipment,Wall & Roof Panels,,,,,,,https://dir.indiamart.com/impcat/wall-cladding.html,"<div class=""s-dfx liwidth""><div class=""s-fshz s-tilem isbimbg""><div class=""isbimg""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""pmcat-img-lnk img-lnk"" href=""/impcat/wall-cladding.html""><img alt=""Wall &amp; Roof Panels"" class="""" data-src=""http://3.imimg.com/data3/UK/TW/GLADMIN-1766/wall-cladding-125x125.jpg"" height=""125"" id=""GenImg1"" loading="""" src=""http://3.imimg.com/data3/UK/TW/GLADMIN-1766/wall-cladding-125x125.jpg"" width=""125""/></a></div><a class=""s-tile hvr-rd elps"" href=""/impcat/wall-cladding.html"">Wall &amp; Roof Panels</a></div></div><div class=""s-dfx s-fwp s-flx1 s-pl5""><div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/3d-wall-panel.html""><img alt=""3D Wall Panel"" class="""" data-src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/MA/OH/DS/92368/3d-wall-panel-125x125.jpg"" height=""125"" id=""chid1-1"" loading="""" src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/MA/OH/DS/92368/3d-wall-panel-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/3d-wall-panel.html"">3D Wall Panel</a></div><span class=""f14"">(2706)</span></div></div><div class=""boxN trck d"
indiamart,Building Construction Material & Equipment,3D Wall Panel,,,,,,,https://dir.indiamart.com/impcat/3d-wall-panel.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/3d-wall-panel.html""><img alt=""3D Wall Panel"" class="""" data-src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/MA/OH/DS/92368/3d-wall-panel-125x125.jpg"" height=""125"" id=""chid1-1"" loading="""" src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/MA/OH/DS/92368/3d-wall-panel-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/3d-wall-panel.html"">3D Wall Panel</a></div><span class=""f14"">(2706)</span></div></div>"
indiamart,Building Construction Material & Equipment,PVC Panel,,,,,,,https://dir.indiamart.com/impcat/pvc-panel.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/pvc-panel.html""><img alt=""PVC Panel"" class="""" data-src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/TX/VB/CV/92368/pvc-panel-125x125.png"" height=""125"" id=""chid1-2"" loading="""" src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/TX/VB/CV/92368/pvc-panel-125x125.png"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/pvc-panel.html"">PVC Panel</a></div><span class=""f14"">(7502)</span></div></div>"
indiamart,Building Construction Material & Equipment,Soffit Panel,,,,,,,https://dir.indiamart.com/impcat/soffit-panel.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/soffit-panel.html""><img alt=""Soffit Panel"" class="""" data-src=""http://3.imimg.com/data3/KA/YV/GLADMIN-116782/soffit-panel-125x125.jpg"" height=""125"" id=""chid1-3"" loading="""" src=""http://3.imimg.com/data3/KA/YV/GLADMIN-116782/soffit-panel-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/soffit-panel.html"">Soffit Panel</a></div><span class=""f14"">(494)</span></div></div>"
